wallet,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_amount,first_tx,last_tx,unique_assets,score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,0,0,0,0,2000.0,1629178166,1629178166,1,520
0x000000000051d07a4fb3bd10121a343d85818da6,1,0,0,0,0,145000000000000.0,1621525013,1621525013,1,520
0x000000000096026fb41fc39f9875d164bd82e2dc,2,0,0,0,0,5000000000.0,1627118913,1627773318,1,530
0x0000000000e189dd664b9ab08a33c4839953852c,0,0,0,17,0,4835297129866.918,1618845797,1630019716,4,540
0x0000000002032370b971dabd36d72f3e5a7bf1ee,250,15,4,130,0,1.7351921694382874e+17,1619040510,1630520124,6,650
0x000000000a38444e0a6e37d3b630d7e855a7cb13,7,8,5,5,0,1.0611918153072992e+16,1623505777,1626899584,5,620
0x000000003853fcedcd0355fec98ca3192833f00b,8,0,0,0,0,45426992712.60784,1627797709,1628479336,7,630
0x000000003ce0cf2c037493b1dc087204bd7f713e,309,30,16,137,0,5.457531201407133e+17,1619880579,1630551109,7,650
0x000000007858e6f2668e1e06111cfa24403a5466,1,0,0,0,0,92647493827.74971,1622940459,1622940459,1,520
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,0,0,0,0,1.797442,1627011681,1627011681,1,520
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,26,24,9,10,0,2.799429952335719e+18,1619794594,1622443289,1,610
0x00000029ff545c86524ade7caf132527707948c4,12,12,12,11,0,7.816530438936761e+18,1618366710,1618548540,4,640
0x00000087c4cebffb95746d1935de7fbcab092f40,86,62,45,57,0,4.2182910984954664e+16,1621917729,1630601558,8,650
0x000000e28faa823d5b53ff6c2922c28335840375,107,66,63,61,0,8.503793099391041e+18,1618716573,1630571172,7,650
0x000006eee6e39015cb523aebdd4d0b1855aba682,11,4,1,9,3,1.3500458186664926e+17,1618414131,1621981969,6,560
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,0,0,0,0,1.690049,1627211419,1627211419,1,520
0x00001bc47f0973f794f79c16121cee879e272d6a,0,0,0,4,0,53394.118307,1624532577,1628593748,2,520
0x00002b503a75998c97508916a74fdb41934fa030,27,47,45,28,0,1.0169365702567612e+18,1619765397,1630593178,7,650
0x0000897253cc85f7547317eb2080b36b3255687a,1,0,0,1,0,289437121399.77435,1629140281,1629443943,1,520
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,0,0,0,0,1.109908,1627203451,1627203451,1,520
0x0000ce08fa224696a819877070bf378e8b131acf,3,1,0,10,0,2908555443489375.5,1620256203,1626803589,4,570
0x00010a708585ba4812a1c5976182626c75cb7a6b,9,6,7,7,0,820224148175395.4,1623308418,1630178589,6,640
0x00016fc0c9f7620e920e1423fd455f9574f48025,2,0,0,0,0,12652993450.826145,1626534982,1626676823,1,530
0x0002761e848b24046a53d494847b11a3e1d36b09,1,0,0,0,0,1008031423844.5638,1626505373,1626505373,1,520
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,2,0,0,0,0,1.0104389999999999,1626136491,1626753715,1,530
0x0003816b25fd3d6c112eb65c089760fa3f791947,1,1,1,1,0,1.00026e+16,1621845439,1621845587,2,530
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,12,5,0,20,0,535690890172878.3,1621112248,1629825131,6,650
